timestamp,gpu_utilization,memory_utilization,encoder_utilization,decoder_utilization
Thu Aug  1 12:23:34 2024,0,0,0,0
Thu Aug  1 12:23:35 2024,0,0,0,0
Thu Aug  1 12:23:36 2024,0,0,0,0
Thu Aug  1 12:23:37 2024,0,0,0,0
Thu Aug  1 12:23:38 2024,0,0,0,0
Thu Aug  1 12:23:39 2024,0,0,0,0
Thu Aug  1 12:23:40 2024,0,0,0,0
Thu Aug  1 12:23:41 2024,0,0,0,0
Thu Aug  1 12:23:42 2024,0,0,0,0
Thu Aug  1 12:23:43 2024,0,0,0,0
Thu Aug  1 12:23:44 2024,0,0,0,0
Thu Aug  1 12:23:45 2024,0,0,0,0
Thu Aug  1 12:23:46 2024,0,0,0,0
Thu Aug  1 12:23:47 2024,0,0,0,0
Thu Aug  1 12:23:48 2024,0,0,0,0
Thu Aug  1 12:23:49 2024,0,0,0,0
Thu Aug  1 12:23:50 2024,0,0,0,0
Thu Aug  1 12:23:51 2024,0,0,0,0
Thu Aug  1 12:23:52 2024,0,0,0,0
Thu Aug  1 12:23:53 2024,0,0,0,0
Thu Aug  1 12:23:54 2024,0,0,0,0
Thu Aug  1 12:23:55 2024,0,0,0,0
Thu Aug  1 12:23:56 2024,0,0,0,0
Thu Aug  1 12:23:58 2024,0,0,0,0
Thu Aug  1 12:23:59 2024,0,0,0,0
Thu Aug  1 12:24:00 2024,0,0,0,0
Thu Aug  1 12:24:01 2024,0,0,0,0
Thu Aug  1 12:24:02 2024,0,0,0,0
Thu Aug  1 12:24:03 2024,0,0,0,0
Thu Aug  1 12:24:04 2024,0,0,0,0
Thu Aug  1 12:24:05 2024,0,0,0,0
Thu Aug  1 12:24:06 2024,0,0,0,0
Thu Aug  1 12:24:07 2024,0,0,0,0
Thu Aug  1 12:24:08 2024,0,0,0,0
Thu Aug  1 12:24:09 2024,0,0,0,0
Thu Aug  1 12:24:10 2024,0,0,0,0
Thu Aug  1 12:24:11 2024,0,0,0,0
Thu Aug  1 12:24:12 2024,0,0,0,0
Thu Aug  1 12:24:13 2024,0,0,0,0
Thu Aug  1 12:24:14 2024,0,0,0,0
Thu Aug  1 12:24:15 2024,0,0,0,0
Thu Aug  1 12:24:16 2024,0,0,0,0
Thu Aug  1 12:24:17 2024,0,0,0,0
Thu Aug  1 12:24:18 2024,0,0,0,0
Thu Aug  1 12:24:19 2024,0,0,0,0
Thu Aug  1 12:24:20 2024,0,0,0,0
Thu Aug  1 12:24:21 2024,0,0,0,0
Thu Aug  1 12:24:22 2024,0,0,0,0
